#
# zinc_oxide.txt
# Carel Platform, LMOPS, Université de Lorraine et CentraleSupélec
# Date:                         2021-01-12 11:30
# User:                         Sidi
# Experiment:                   van der Pauw / Hall
# Comment:                      n-type zinc oxide (on sapphire), thickness: 0.2 um, contacts: soldered indium, room temperature
#
# Columns (delimiter = TAB):    Current (A)	VoltageDC (V)	VoltageAB (V)	VoltageAD (V)	VoltageBC (V)	VoltageMAC (V)	VoltageMACN (V)	VoltageMDB (V)	VoltageMDBN (V)	Resistivity (Ohms.cm)	NB (cm^-3)	Mobility (cm2/Vs)
#
-4.800000e-004	-0.41749600	-0.41784500	-0.49986400	-0.49982100	0.07658810	0.08640130	0.08702330	0.07761140	8.641025e-002	1.686295e+018	4.283894e+001
-4.600000e-004	-0.40008800	-0.40031700	-0.47907100	-0.47911200	0.07369920	0.08291690	0.08315420	0.07443580	8.641316e-002	1.697266e+018	4.256061e+001
-4.400000e-004	-0.38266100	-0.38313000	-0.45824500	-0.45826000	0.07047250	0.07925120	0.07983170	0.07095450	8.642575e-002	1.723031e+018	4.191806e+001
-4.200000e-004	-0.36527000	-0.36542300	-0.43763200	-0.43713300	0.06738600	0.07594150	0.07615910	0.06746460	8.641043e-002	1.705513e+018	4.235612e+001
-4.000000e-004	-0.34792600	-0.34803800	-0.41695200	-0.41634900	0.06387830	0.07238030	0.07266000	0.06422860	8.640173e-002	1.664334e+018	4.340849e+001
-3.800000e-004	-0.33065200	-0.33057000	-0.39573900	-0.39588200	0.06107880	0.06854330	0.06879720	0.06159800	8.642955e-002	1.712644e+018	4.217045e+001
-3.600000e-004	-0.31327400	-0.31313500	-0.37503900	-0.37475700	0.05765300	0.06495320	0.06544270	0.05833270	8.642094e-002	1.716682e+018	4.207544e+001
-3.400000e-004	-0.29564600	-0.29588000	-0.35411100	-0.35405100	0.05465280	0.06158410	0.06191920	0.05470940	8.641956e-002	1.719569e+018	4.200546e+001
-3.200000e-004	-0.27824200	-0.27838000	-0.33330500	-0.33317600	0.05127550	0.05804930	0.05837150	0.05150750	8.640534e-002	1.668371e+018	4.330162e+001
-3.000000e-004	-0.26116000	-0.26090300	-0.31245000	-0.31237000	0.04815550	0.05430580	0.05435420	0.04838450	8.640905e-002	1.694073e+018	4.264284e+001
